Name	Start	Stop	Product
Orf1ab	266	21555	ORF1ab polyprotein
S	21563	25384	surface glycoprotein
E	26245	26472	envelope protein
M	26523	27191	membrane glycoprotein
N	28274	29533	nucleocapsid phosphoprotein
